Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Age Group,Order Size,Revenue Category,Customer Type
1,24-11-2023,CUST001,Male,34,Beauty,3,50,150,Adult,Bulk,Low,Regular
2,27-02-2023,CUST002,Female,26,Clothing,2,500,1000,Adult,Normal,High,Premium
3,13-01-2023,CUST003,Male,50,Electronics,1,30,30,Senior,Normal,Low,Regular
4,21-05-2023,CUST004,Male,37,Clothing,1,500,500,Adult,Normal,Medium,Premium
5,06-05-2023,CUST005,Male,30,Beauty,2,50,100,Adult,Normal,Low,Regular
6,25-04-2023,CUST006,Female,45,Beauty,1,30,30,Adult,Normal,Low,Regular
7,13-03-2023,CUST007,Male,46,Clothing,2,25,50,Senior,Normal,Low,Regular
8,22-02-2023,CUST008,Male,30,Electronics,4,25,100,Adult,Bulk,Low,Regular
9,13-12-2023,CUST009,Male,63,Electronics,2,300,600,Adult,Normal,Medium,Premium
10,07-10-2023,CUST010,Female,52,Clothing,4,50,200,Senior,Bulk,Low,Regular
11,14-02-2023,CUST011,Male,23,Clothing,2,50,100,Senior,Normal,Low,Regular
12,30-10-2023,CUST012,Male,35,Beauty,3,25,75,Adult,Bulk,Low,Regular
13,05-08-2023,CUST013,Male,22,Electronics,3,500,1500,Senior,Bulk,High,Premium
14,17-01-2023,CUST014,Male,64,Clothing,4,30,120,Senior,Bulk,Low,Regular
15,16-01-2023,CUST015,Female,42,Electronics,4,500,2000,Young,Bulk,High,Premium
16,17-02-2023,CUST016,Male,19,Clothing,3,500,1500,Adult,Bulk,High,Premium
17,22-04-2023,CUST017,Female,27,Clothing,4,25,100,Young,Bulk,Low,Regular
18,30-04-2023,CUST018,Female,47,Electronics,2,25,50,Senior,Normal,Low,Regular
19,16-09-2023,CUST019,Female,62,Clothing,2,25,50,Adult,Normal,Low,Regular
20,05-11-2023,CUST020,Male,22,Clothing,3,300,900,Young,Bulk,Medium,Premium
21,14-01-2023,CUST021,Female,50,Beauty,1,500,500,Adult,Normal,Medium,Premium
22,15-10-2023,CUST022,Male,18,Clothing,2,50,100,Senior,Normal,Low,Regular
23,12-04-2023,CUST023,Female,35,Clothing,4,30,120,Senior,Bulk,Low,Regular
24,29-11-2023,CUST024,Female,49,Clothing,1,300,300,Young,Normal,Low,Premium
25,26-12-2023,CUST025,Female,64,Beauty,1,50,50,Senior,Normal,Low,Regular
26,07-10-2023,CUST026,Female,28,Electronics,2,500,1000,Young,Normal,High,Premium
27,03-08-2023,CUST027,Female,38,Beauty,2,25,50,Adult,Normal,Low,Regular
28,23-04-2023,CUST028,Female,43,Beauty,1,500,500,Senior,Normal,Medium,Premium
29,18-08-2023,CUST029,Female,42,Electronics,1,30,30,Senior,Normal,Low,Regular
30,29-10-2023,CUST030,Female,39,Beauty,3,300,900,Adult,Bulk,Medium,Premium
31,23-05-2023,CUST031,Male,44,Electronics,4,300,1200,Adult,Bulk,High,Premium
32,04-01-2023,CUST032,Male,30,Beauty,3,30,90,Adult,Bulk,Low,Regular
33,23-03-2023,CUST033,Female,50,Electronics,2,50,100,Adult,Normal,Low,Regular
34,24-12-2023,CUST034,Female,51,Clothing,3,50,150,Adult,Bulk,Low,Regular
35,05-08-2023,CUST035,Female,58,Beauty,3,300,900,Adult,Bulk,Medium,Premium
36,24-06-2023,CUST036,Male,52,Beauty,3,300,900,Adult,Bulk,Medium,Premium
37,23-05-2023,CUST037,Female,18,Beauty,3,25,75,Senior,Bulk,Low,Regular
38,21-03-2023,CUST038,Male,38,Beauty,4,50,200,Senior,Bulk,Low,Regular
